window,variant,horizon,cost_bps,rank_ic_mean,rank_ic_positive_rate,rank_ic_dates,top_bucket_return_mean,bottom_bucket_return_mean,top_bottom_spread_mean,top_bottom_hit_rate,top_bucket_max_drawdown,spread_max_drawdown,turnover_mean,sector_exposure_top,top_avg_close,universe_avg_close,top_avg_adv20,universe_avg_adv20,score_size_spearman,score_liquidity_spearman,observations
mid_weak,pullback_rs_60_5,60,35,-0.036675,0.608696,69,0.22717,0.188533,0.038637,0.652174,-0.000273,-0.152012,0.305147,"{""Communication Services"": 0.1014, ""Consumer Discretionary"": 0.1159, ""Energy"": 0.0254, ""Financials"": 0.0942, ""Healthcare"": 0.0688, ""Industrials"": 0.0435, ""Technology"": 0.5217, ""Unknown"": 0.029}",222.797638,280.606956,5650005347.189661,4680944433.293624,0.022967,0.037466,2622
mid_weak,pullback_rs_60_5,5,70,0.009897,0.580645,124,0.007372,0.005779,0.001593,0.5,-0.099383,-0.169414,0.288618,"{""Communication Services"": 0.0585, ""Consumer Discretionary"": 0.0827, ""Energy"": 0.0161, ""Financials"": 0.0706, ""Healthcare"": 0.0544, ""Industrials"": 0.0383, ""Technology"": 0.6371, ""Unknown"": 0.0423}",233.860438,293.423096,6223666801.863926,4815337885.534054,-0.014708,0.078875,4712
mid_weak,pullback_rs_60_5,10,70,-0.007546,0.495798,119,0.019391,0.02259,-0.003199,0.411765,-0.059236,-0.180978,0.288136,"{""Communication Services"": 0.0609, ""Consumer Discretionary"": 0.084, ""Energy"": 0.0168, ""Financials"": 0.0693, ""Healthcare"": 0.0546, ""Industrials"": 0.0378, ""Technology"": 0.6324, ""Unknown"": 0.0441}",230.426521,292.271415,6246729953.816833,4787281584.578172,-0.017396,0.066856,4522
mid_weak,pullback_rs_60_5,20,70,-0.019006,0.559633,109,0.057561,0.059034,-0.001473,0.550459,-0.025711,-0.158017,0.300926,"{""Communication Services"": 0.0665, ""Consumer Discretionary"": 0.0757, ""Energy"": 0.0183, ""Financials"": 0.0757, ""Healthcare"": 0.0596, ""Industrials"": 0.0413, ""Technology"": 0.6193, ""Unknown"": 0.0436}",221.246587,289.441519,5810583794.388865,4728770313.973732,-0.024787,0.050042,4142
mid_weak,pullback_rs_60_5,60,70,-0.036675,0.608696,69,0.22367,0.185033,0.038637,0.652174,-0.000391,-0.152012,0.305147,"{""Communication Services"": 0.1014, ""Consumer Discretionary"": 0.1159, ""Energy"": 0.0254, ""Financials"": 0.0942, ""Healthcare"": 0.0688, ""Industrials"": 0.0435, ""Technology"": 0.5217, ""Unknown"": 0.029}",222.797638,280.606956,5650005347.189661,4680944433.293624,0.022967,0.037466,2622
mid_weak,momentum_60,5,0,0.032964,0.604839,124,0.015129,0.018351,-0.003222,0.532258,-0.087725,-0.205472,0.130081,"{""Communication Services"": 0.0625, ""Consumer Discretionary"": 0.0706, ""Financials"": 0.0907, ""Healthcare"": 0.006, ""Industrials"": 0.0282, ""Technology"": 0.7319, ""Unknown"": 0.0101}",239.735657,293.423096,7779854727.142442,4815337885.534054,-0.034285,0.196609,4712
mid_weak,momentum_60,10,0,0.033077,0.588235,119,0.025935,0.036951,-0.011017,0.453782,-0.063309,-0.19109,0.133475,"{""Communication Services"": 0.0651, ""Consumer Discretionary"": 0.0714, ""Financials"": 0.0945, ""Healthcare"": 0.0063, ""Industrials"": 0.0294, ""Technology"": 0.7227, ""Unknown"": 0.0105}",237.012458,292.271415,7740062666.75613,4787281584.578172,-0.042259,0.185403,4522
mid_weak,momentum_60,20,0,0.06881,0.669725,109,0.055828,0.056384,-0.000556,0.522936,-0.035837,-0.124852,0.141204,"{""Communication Services"": 0.0711, ""Consumer Discretionary"": 0.0642, ""Financials"": 0.1032, ""Healthcare"": 0.0069, ""Industrials"": 0.0321, ""Technology"": 0.711, ""Unknown"": 0.0115}",227.918484,289.441519,7489937550.248025,4728770313.973732,-0.05761,0.159162,4142
mid_weak,momentum_60,60,0,0.102509,0.73913,69,0.23814,0.189823,0.048316,0.710145,0.0,-0.143758,0.147059,"{""Communication Services"": 0.1123, ""Consumer Discretionary"": 0.0906, ""Financials"": 0.1413, ""Healthcare"": 0.0109, ""Industrials"": 0.0471, ""Technology"": 0.5978}",222.38158,280.606956,7007872004.048419,4680944433.293624,-0.030563,0.108246,2622
mid_weak,momentum_60,5,35,0.032964,0.604839,124,0.011629,0.014851,-0.003222,0.532258,-0.098844,-0.205472,0.130081,"{""Communication Services"": 0.0625, ""Consumer Discretionary"": 0.0706, ""Financials"": 0.0907, ""Healthcare"": 0.006, ""Industrials"": 0.0282, ""Technology"": 0.7319, ""Unknown"": 0.0101}",239.735657,293.423096,7779854727.142442,4815337885.534054,-0.034285,0.196609,4712
